home_team,away_team,home_odds,away_odds,draw_odds
Colorado Avalanche,Buffalo Sabres,1.81,3.9,4.75
Los Angeles Kings,Winnipeg Jets,1.99,3.62,4.45
Philadelphia Flyers,Washington Capitals,2.18,2.75,4.4
Toronto Maple Leafs,Columbus Blue Jackets,1.67,4.1,5.0
Detroit Red Wings,Carolina Hurricanes,3.48,2.02,4.5
Minnesota Wild,Calgary Flames,2.07,2.95,4.55
St. Louis Blues,Ottawa Senators,2.62,2.29,4.6
Edmonton Oilers,Tampa Bay Lightning,1.94,3.25,4.75
Seattle Kraken,Chicago Blackhawks,1.68,4.0,4.75
Vancouver Canucks,Florida Panthers,2.6,2.29,4.5
NY Rangers,Anaheim Ducks,1.54,5.2,5.4
Carolina Hurricanes,Nashville Predators,1.93,3.25,4.5
NY Islanders,Boston Bruins,2.79,2.41,4.35
Dallas Stars,Ottawa Senators,1.75,3.94,4.9
Arizona Coyotes,San Jose Sharks,1.82,3.55,4.6
Vegas Golden Knights,Buffalo Sabres,1.75,3.98,4.9
Minnesota Wild,Vancouver Canucks,2.27,2.6,4.45
Winnipeg Jets,Colorado Avalanche,2.35,2.54,4.33
Boston Bruins,NY Rangers,2.34,2.55,4.3
Columbus Blue Jackets,New Jersey Devils,3.95,1.74,4.9
Montreal Canadiens,NY Islanders,2.6,2.29,4.4
Philadelphia Flyers,Detroit Red Wings,2.25,2.65,4.55
Toronto Maple Leafs,Pittsburgh Penguins,2.63,2.56,4.33
Nashville Predators,Washington Capitals,2.16,2.8,4.45
St. Louis Blues,Dallas Stars,2.8,2.13,4.45
Arizona Coyotes,Buffalo Sabres,2.45,2.4,4.45
Seattle Kraken,Los Angeles Kings,3.0,2.05,4.33
Calgary Flames,Tampa Bay Lightning,2.5,2.36,4.45
Edmonton Oilers,Florida Panthers,2.08,2.85,4.65
Chicago Blackhawks,Vancouver Canucks,4.0,1.77,4.75
Carolina Hurricanes,Washington Capitals,1.71,4.2,4.8
New Jersey Devils,Anaheim Ducks,1.61,4.4,5.1
Vegas Golden Knights,Ottawa Senators,2.0,3.5,4.6
Colorado Avalanche,San Jose Sharks,1.57,4.8,5.2
Detroit Red Wings,Anaheim Ducks,1.7,4.1,4.95
Pittsburgh Penguins,Minnesota Wild,2.42,2.77,4.35
Winnipeg Jets,Montreal Canadiens,1.68,4.25,4.8
Dallas Stars,Seattle Kraken,1.85,3.85,4.65
Calgary Flames,Florida Panthers,2.65,2.29,4.45
Boston Bruins,Minnesota Wild,1.7,4.0,4.8
Buffalo Sabres,Columbus Blue Jackets,1.83,3.4,4.85
Carolina Hurricanes,Vegas Golden Knights,2.23,2.94,4.65
New Jersey Devils,Philadelphia Flyers,1.97,3.1,4.6
Tampa Bay Lightning,St. Louis Blues,1.87,3.35,4.75
Toronto Maple Leafs,NY Rangers,2.42,2.4,4.45
NY Islanders,Edmonton Oilers,2.9,2.07,4.65
Nashville Predators,Vancouver Canucks,2.33,2.55,4.35
Chicago Blackhawks,Colorado Avalanche,4.05,1.68,4.85
Arizona Coyotes,Ottawa Senators,2.67,2.25,4.35
San Jose Sharks,Los Angeles Kings,4.45,1.61,5.0
Winnipeg Jets,Detroit Red Wings,2.01,3.05,4.65
Washington Capitals,NY Islanders,2.31,2.6,4.25
Los Angeles Kings,Seattle Kraken,1.92,3.3,4.4
Buffalo Sabres,Toronto Maple Leafs,2.91,2.02,4.6
Columbus Blue Jackets,Washington Capitals,2.5,2.38,4.33
Florida Panthers,St. Louis Blues,1.75,4.0,4.7
Philadelphia Flyers,Nashville Predators,2.38,2.5,4.25
Pittsburgh Penguins,Carolina Hurricanes,2.8,2.13,4.45
Tampa Bay Lightning,Vegas Golden Knights,2.35,2.5,4.4
New Jersey Devils,Edmonton Oilers,2.6,2.51,4.55
Dallas Stars,Vancouver Canucks,2.13,2.8,4.4
Minnesota Wild,Montreal Canadiens,1.9,3.3,4.45
Colorado Avalanche,Ottawa Senators,1.89,3.34,4.65
Anaheim Ducks,Calgary Flames,3.58,1.81,4.6
San Jose Sharks,Arizona Coyotes,3.0,2.03,4.45
Detroit Red Wings,Philadelphia Flyers,2.17,2.75,4.4
NY Rangers,Edmonton Oilers,2.2,2.78,4.4
Winnipeg Jets,Boston Bruins,2.5,2.4,4.2
Chicago Blackhawks,Montreal Canadiens,2.36,2.52,4.3
Nashville Predators,Dallas Stars,2.65,2.26,4.35
Florida Panthers,Vegas Golden Knights,2.13,2.84,4.5
Minnesota Wild,Boston Bruins,2.82,2.15,4.3
Columbus Blue Jackets,Toronto Maple Leafs,4.0,1.7,4.95
New Jersey Devils,Detroit Red Wings,1.79,3.5,4.8
Ottawa Senators,Pittsburgh Penguins,2.39,2.49,4.45
Washington Capitals,Tampa Bay Lightning,2.98,2.24,4.5
Carolina Hurricanes,NY Islanders,1.9,3.32,4.5
NY Rangers,Buffalo Sabres,1.92,3.22,4.6
Anaheim Ducks,Seattle Kraken,3.0,2.03,4.4
St. Louis Blues,Chicago Blackhawks,1.6,4.55,4.95
Colorado Avalanche,Arizona Coyotes,1.74,3.75,4.7
Los Angeles Kings,Calgary Flames,1.98,3.13,4.4
Vancouver Canucks,San Jose Sharks,1.52,5.25,5.35
New Jersey Devils,Columbus Blue Jackets,1.66,4.33,5.05
NY Rangers,Washington Capitals,1.86,4.0,4.7
Tampa Bay Lightning,Florida Panthers,2.63,2.6,4.45
Toronto Maple Leafs,Ottawa Senators,2.01,3.75,4.8
Buffalo Sabres,Boston Bruins,3.1,2.12,4.55
NY Islanders,Pittsburgh Penguins,2.34,2.7,4.4
Minnesota Wild,Detroit Red Wings,2.12,2.9,4.55
Nashville Predators,Carolina Hurricanes,2.8,2.18,4.45
St. Louis Blues,Dallas Stars,3.2,2.07,4.65
Arizona Coyotes,Colorado Avalanche,3.4,1.95,4.6
Chicago Blackhawks,Winnipeg Jets,4.2,1.78,4.8
Calgary Flames,Seattle Kraken,2.07,2.95,4.4
Anaheim Ducks,Vegas Golden Knights,4.0,1.84,4.85
Los Angeles Kings,San Jose Sharks,1.47,5.75,5.4
Carolina Hurricanes,Montreal Canadiens,1.65,4.33,4.95
Vancouver Canucks,Philadelphia Flyers,2.02,3.05,4.5
Vegas Golden Knights,Los Angeles Kings,2.4,2.43,4.45
San Jose Sharks,Edmonton Oilers,6.5,1.38,6.1
Detroit Red Wings,Nashville Predators,2.38,2.45,4.55
Florida Panthers,NY Rangers,2.11,2.9,4.5
Ottawa Senators,New Jersey Devils,2.45,2.32,4.65
Columbus Blue Jackets,Toronto Maple Leafs,3.8,1.77,4.9
NY Islanders,Washington Capitals,2.17,3.16,4.4
Dallas Stars,Chicago Blackhawks,1.44,5.75,5.45
St. Louis Blues,Colorado Avalanche,3.05,1.98,4.65
Anaheim Ducks,Arizona Coyotes,2.75,2.17,4.45
Seattle Kraken,Philadelphia Flyers,2.2,2.8,4.35
Buffalo Sabres,Columbus Blue Jackets,1.8,3.7,4.9
Boston Bruins,New Jersey Devils,1.98,3.13,4.4
Florida Panthers,Montreal Canadiens,1.65,4.3,5.0
Pittsburgh Penguins,St. Louis Blues,1.76,3.7,4.75
Tampa Bay Lightning,NY Rangers,2.5,2.58,4.65
Toronto Maple Leafs,Carolina Hurricanes,2.59,2.28,4.5
Washington Capitals,Nashville Predators,2.5,2.4,4.45
Los Angeles Kings,Edmonton Oilers,2.3,2.52,4.6
Minnesota Wild,Winnipeg Jets,2.65,2.29,4.33
Detroit Red Wings,Boston Bruins,2.86,2.31,4.5
Ottawa Senators,Buffalo Sabres,2.01,2.95,4.75
Pittsburgh Penguins,NY Islanders,2.45,2.45,4.45
Tampa Bay Lightning,Montreal Canadiens,1.79,3.6,4.8
Anaheim Ducks,Edmonton Oilers,3.85,1.75,4.9
Calgary Flames,Philadelphia Flyers,2.1,2.95,4.6
Colorado Avalanche,San Jose Sharks,1.41,6.1,5.75
Dallas Stars,Chicago Blackhawks,1.44,6.0,5.55
Seattle Kraken,Vegas Golden Knights,2.84,2.18,4.4
Columbus Blue Jackets,Boston Bruins,4.0,1.73,4.75
NY Rangers,Carolina Hurricanes,2.26,2.65,4.3
Pittsburgh Penguins,Washington Capitals,1.93,3.6,4.8
Dallas Stars,Montreal Canadiens,1.57,4.85,5.15
Minnesota Wild,Calgary Flames,2.5,2.4,4.3
Nashville Predators,Chicago Blackhawks,1.63,4.65,5.05
Winnipeg Jets,Tampa Bay Lightning,2.12,2.82,4.4
Arizona Coyotes,Florida Panthers,3.2,2.0,4.45
Colorado Avalanche,NY Islanders,1.94,3.44,4.6
Edmonton Oilers,Philadelphia Flyers,1.85,3.35,4.65
Vancouver Canucks,Ottawa Senators,2.0,3.05,4.55
Los Angeles Kings,Toronto Maple Leafs,2.18,2.75,4.45
San Jose Sharks,Detroit Red Wings,3.75,1.8,4.7
Washington Capitals,New Jersey Devils,3.2,1.95,4.5
Anaheim Ducks,Toronto Maple Leafs,4.1,1.71,4.85
Boston Bruins,Pittsburgh Penguins,2.15,3.18,4.45
Montreal Canadiens,Buffalo Sabres,3.15,2.08,4.6
NY Rangers,Chicago Blackhawks,1.39,6.5,5.75
Philadelphia Flyers,Columbus Blue Jackets,1.9,3.3,4.6
Dallas Stars,Colorado Avalanche,2.2,2.65,4.5
Minnesota Wild,Tampa Bay Lightning,2.66,2.23,4.45
Nashville Predators,Calgary Flames,2.3,2.65,4.4
St. Louis Blues,Vancouver Canucks,2.94,2.06,4.6
Arizona Coyotes,NY Islanders,2.5,2.35,4.4
Seattle Kraken,Ottawa Senators,2.25,2.61,4.5
Vegas Golden Knights,Florida Panthers,2.56,2.32,4.25
Los Angeles Kings,Detroit Red Wings,1.87,3.4,4.65
San Jose Sharks,Winnipeg Jets,4.5,1.62,4.95
New Jersey Devils,Chicago Blackhawks,1.39,6.3,5.95
Washington Capitals,Carolina Hurricanes,3.42,1.89,4.35
Anaheim Ducks,Winnipeg Jets,3.52,1.88,4.4
Philadelphia Flyers,Calgary Flames,2.45,2.46,4.15
Colorado Avalanche,Florida Panthers,2.43,2.45,4.3
San Jose Sharks,Toronto Maple Leafs,4.75,1.56,5.1
Boston Bruins,Tampa Bay Lightning,2.02,3.05,4.3
Columbus Blue Jackets,Minnesota Wild,2.72,2.22,4.25
Montreal Canadiens,NY Rangers,3.5,1.82,4.6
New Jersey Devils,Vancouver Canucks,2.6,2.29,4.33
Pittsburgh Penguins,Buffalo Sabres,1.94,3.1,4.6
Carolina Hurricanes,St. Louis Blues,1.81,3.6,4.75
Dallas Stars,Nashville Predators,1.91,3.25,4.55
Vegas Golden Knights,NY Islanders,2.22,3.02,4.5
Edmonton Oilers,Ottawa Senators,1.75,3.75,4.85
Chicago Blackhawks,Calgary Flames,4.33,1.66,4.8
Washington Capitals,Los Angeles Kings,3.54,1.86,4.5
Arizona Coyotes,Winnipeg Jets,2.96,2.07,4.3
Anaheim Ducks,Detroit Red Wings,3.1,2.01,4.6
NY Rangers,Vancouver Canucks,2.07,2.9,4.4
Philadelphia Flyers,Pittsburgh Penguins,2.67,2.27,4.4
Minnesota Wild,Dallas Stars,2.86,2.13,4.4
Colorado Avalanche,Boston Bruins,2.22,2.7,4.3
Buffalo Sabres,Seattle Kraken,2.4,2.45,4.45
Tampa Bay Lightning,Los Angeles Kings,2.9,2.34,4.33
Toronto Maple Leafs,San Jose Sharks,1.41,6.5,5.8
NY Islanders,Vancouver Canucks,2.22,2.68,4.3
Nashville Predators,Anaheim Ducks,1.71,4.0,4.75
St. Louis Blues,Florida Panthers,3.35,1.9,4.6
Winnipeg Jets,Columbus Blue Jackets,1.61,4.75,4.95
Chicago Blackhawks,Edmonton Oilers,6.5,1.39,6.0
Arizona Coyotes,Boston Bruins,3.1,2.02,4.35
Calgary Flames,Ottawa Senators,2.18,2.75,4.55
Philadelphia Flyers,Montreal Canadiens,1.86,3.5,4.5
Dallas Stars,Minnesota Wild,1.82,3.55,4.5
Colorado Avalanche,Vegas Golden Knights,2.1,2.92,4.3
Buffalo Sabres,Ottawa Senators,2.21,2.65,4.6
Carolina Hurricanes,Anaheim Ducks,1.48,5.5,5.4
Detroit Red Wings,Edmonton Oilers,3.05,1.97,4.8
Florida Panthers,Los Angeles Kings,2.11,2.88,4.45
Montreal Canadiens,San Jose Sharks,2.01,3.1,4.5
Pittsburgh Penguins,Vancouver Canucks,2.24,2.65,4.55
Tampa Bay Lightning,New Jersey Devils,2.02,3.0,4.7
Washington Capitals,Seattle Kraken,2.75,2.21,4.35
NY Islanders,Toronto Maple Leafs,2.67,2.22,4.55
St. Louis Blues,NY Rangers,3.15,1.97,4.5
Winnipeg Jets,Chicago Blackhawks,1.45,6.1,5.45
Arizona Coyotes,Calgary Flames,2.84,2.16,4.55
Vegas Golden Knights,Boston Bruins,2.79,2.35,4.55
Dallas Stars,Nashville Predators,1.9,3.3,4.7
Minnesota Wild,Philadelphia Flyers,2.49,2.65,4.35
Washington Capitals,NY Rangers,3.2,2.08,4.75
Buffalo Sabres,Vancouver Canucks,2.9,2.05,4.7
Ottawa Senators,San Jose Sharks,1.67,4.2,5.0
Florida Panthers,New Jersey Devils,1.73,3.9,4.9
Winnipeg Jets,Philadelphia Flyers,1.8,3.65,4.6
Carolina Hurricanes,Pittsburgh Penguins,2.1,2.85,4.55
Columbus Blue Jackets,Seattle Kraken,3.15,1.99,4.5
Detroit Red Wings,Los Angeles Kings,3.05,2.04,4.55
Montreal Canadiens,Edmonton Oilers,4.2,1.67,5.0
Tampa Bay Lightning,Anaheim Ducks,1.62,4.5,4.95
Toronto Maple Leafs,Colorado Avalanche,2.29,2.6,4.6
Chicago Blackhawks,Dallas Stars,4.5,1.63,4.85
Minnesota Wild,Arizona Coyotes,2.21,2.7,4.4
Nashville Predators,NY Islanders,2.53,2.37,4.45
St. Louis Blues,Boston Bruins,3.25,1.95,4.55
Vegas Golden Knights,Calgary Flames,2.4,2.5,4.4
NY Rangers,Washington Capitals,1.67,4.33,4.85
Buffalo Sabres,San Jose Sharks,1.61,4.75,5.1
Boston Bruins,New Jersey Devils,1.97,3.54,4.7
Columbus Blue Jackets,Vancouver Canucks,3.64,1.77,4.85
Florida Panthers,Anaheim Ducks,1.45,6.0,5.65
Pittsburgh Penguins,Seattle Kraken,2.05,3.0,4.35
Carolina Hurricanes,Los Angeles Kings,2.06,2.95,4.4
Minnesota Wild,NY Islanders,2.33,2.7,4.3
Vegas Golden Knights,Nashville Predators,2.4,2.46,4.25
Montreal Canadiens,Colorado Avalanche,3.72,1.77,4.65
St. Louis Blues,Philadelphia Flyers,2.39,2.45,4.3
NY Rangers,Seattle Kraken,1.73,4.0,4.7
Ottawa Senators,Colorado Avalanche,2.51,2.32,4.7
Washington Capitals,Anaheim Ducks,1.92,3.35,4.55
Dallas Stars,Los Angeles Kings,2.16,2.75,4.55
Winnipeg Jets,NY Islanders,1.93,3.86,4.45
Chicago Blackhawks,San Jose Sharks,2.07,3.0,4.3
Calgary Flames,Arizona Coyotes,2.03,3.1,4.6
Edmonton Oilers,Toronto Maple Leafs,2.02,3.0,4.7
Florida Panthers,Detroit Red Wings,1.77,3.6,4.8
New Jersey Devils,Montreal Canadiens,1.9,3.35,4.6
Boston Bruins,Colorado Avalanche,2.06,2.9,4.6
Ottawa Senators,Montreal Canadiens,1.88,3.35,4.85
Philadelphia Flyers,Dallas Stars,2.75,2.16,4.4
Tampa Bay Lightning,Minnesota Wild,2.13,2.79,4.55
Washington Capitals,St. Louis Blues,2.37,2.5,4.4
Buffalo Sabres,Chicago Blackhawks,1.59,4.6,5.05
Calgary Flames,Toronto Maple Leafs,2.75,2.17,4.6
Edmonton Oilers,Seattle Kraken,1.73,4.0,4.85
Los Angeles Kings,Nashville Predators,2.1,2.88,4.5
Vancouver Canucks,Arizona Coyotes,1.76,3.7,4.85
Vegas Golden Knights,NY Rangers,3.02,2.23,4.45
Carolina Hurricanes,Detroit Red Wings,1.84,3.95,4.85
Columbus Blue Jackets,New Jersey Devils,3.1,2.03,4.7
Florida Panthers,Minnesota Wild,1.81,3.75,4.75
Chicago Blackhawks,NY Islanders,4.5,1.72,4.85
Buffalo Sabres,Tampa Bay Lightning,2.8,2.39,4.55
Philadelphia Flyers,Colorado Avalanche,2.95,2.35,4.45
Arizona Coyotes,Nashville Predators,2.8,2.23,4.45
Ottawa Senators,Winnipeg Jets,2.95,2.12,4.5
Vancouver Canucks,Toronto Maple Leafs,2.23,2.75,4.55
Boston Bruins,Montreal Canadiens,1.6,4.75,5.05
New Jersey Devils,Dallas Stars,2.85,2.18,4.55
St. Louis Blues,Washington Capitals,2.3,2.65,4.35
San Jose Sharks,Anaheim Ducks,2.7,2.3,4.45
Vegas Golden Knights,Pittsburgh Penguins,2.75,2.38,4.3
Calgary Flames,Edmonton Oilers,3.25,2.0,4.75
Los Angeles Kings,NY Rangers,2.38,2.77,4.5
Philadelphia Flyers,Ottawa Senators,2.15,2.92,4.65
Carolina Hurricanes,Minnesota Wild,1.86,3.75,4.65
Detroit Red Wings,Tampa Bay Lightning,2.56,2.43,4.33
NY Islanders,Dallas Stars,2.5,2.7,4.55
Anaheim Ducks,NY Rangers,4.0,1.74,4.75
Seattle Kraken,Toronto Maple Leafs,2.5,2.38,4.35
Boston Bruins,Winnipeg Jets,2.21,3.04,4.5
New Jersey Devils,Vegas Golden Knights,2.32,2.55,4.4
Nashville Predators,Florida Panthers,2.8,2.2,4.4
Arizona Coyotes,Pittsburgh Penguins,3.05,2.02,4.5
Vancouver Canucks,Chicago Blackhawks,1.38,6.7,5.8
Los Angeles Kings,San Jose Sharks,1.43,6.25,5.55
Detroit Red Wings,Dallas Stars,2.88,2.15,4.6
Montreal Canadiens,Ottawa Senators,2.95,2.05,4.7
Philadelphia Flyers,Tampa Bay Lightning,2.61,2.48,4.6
NY Islanders,Vegas Golden Knights,2.06,3.0,4.4
Minnesota Wild,Washington Capitals,1.98,3.15,4.45
Calgary Flames,St. Louis Blues,1.95,3.13,4.55
Edmonton Oilers,Columbus Blue Jackets,1.43,6.0,5.75
Anaheim Ducks,Buffalo Sabres,3.15,1.97,4.55
San Jose Sharks,NY Rangers,5.5,1.47,5.35
Florida Panthers,Arizona Coyotes,1.68,4.33,4.85
Toronto Maple Leafs,Winnipeg Jets,2.12,2.92,4.33
Boston Bruins,Carolina Hurricanes,2.16,3.06,4.7
Colorado Avalanche,Washington Capitals,1.64,4.5,5.0
Seattle Kraken,Chicago Blackhawks,1.56,5.0,4.95
Vancouver Canucks,St. Louis Blues,1.65,4.33,4.95
Los Angeles Kings,Buffalo Sabres,1.81,3.55,4.7
Detroit Red Wings,Philadelphia Flyers,2.35,2.5,4.5
Montreal Canadiens,NY Islanders,3.04,2.05,4.55
Ottawa Senators,Boston Bruins,2.93,2.16,4.6
Tampa Bay Lightning,Arizona Coyotes,1.74,4.0,4.85
Carolina Hurricanes,New Jersey Devils,2.07,3.28,4.65
Dallas Stars,Anaheim Ducks,1.51,5.05,5.4
Minnesota Wild,Nashville Predators,2.32,2.55,4.33
Calgary Flames,Columbus Blue Jackets,1.81,3.55,4.8
Edmonton Oilers,Chicago Blackhawks,1.29,8.25,6.7
NY Rangers,Vegas Golden Knights,1.98,3.13,4.45
Pittsburgh Penguins,Florida Panthers,2.7,2.22,4.5
Colorado Avalanche,Los Angeles Kings,2.05,2.95,4.55
Seattle Kraken,St. Louis Blues,1.92,3.3,4.45
Philadelphia Flyers,Boston Bruins,3.05,2.02,4.4
Dallas Stars,Washington Capitals,1.7,4.33,4.7
San Jose Sharks,Buffalo Sabres,3.65,1.82,4.6
Edmonton Oilers,Nashville Predators,1.74,4.0,4.85
Winnipeg Jets,Toronto Maple Leafs,2.28,2.89,4.55
Carolina Hurricanes,Arizona Coyotes,1.69,4.33,4.75
Ottawa Senators,NY Rangers,2.39,2.47,4.5
Pittsburgh Penguins,Montreal Canadiens,1.73,4.0,4.8
Tampa Bay Lightning,New Jersey Devils,2.03,2.95,4.5
NY Islanders,Florida Panthers,2.86,2.16,4.45
Detroit Red Wings,Vegas Golden Knights,2.17,2.76,4.33
Minnesota Wild,Anaheim Ducks,1.71,4.2,4.75
Vancouver Canucks,Columbus Blue Jackets,1.58,4.55,5.15
Calgary Flames,Chicago Blackhawks,1.56,4.9,4.9
St. Louis Blues,Los Angeles Kings,3.05,2.02,4.5
Seattle Kraken,Columbus Blue Jackets,1.65,4.33,4.95
Ottawa Senators,Nashville Predators,2.5,2.45,4.45
St. Louis Blues,Columbus Blue Jackets,2.0,3.05,4.6
San Jose Sharks,Seattle Kraken,4.2,1.68,4.75
Detroit Red Wings,Ottawa Senators,2.37,2.58,4.45
Nashville Predators,Los Angeles Kings,2.59,2.32,4.2
Anaheim Ducks,San Jose Sharks,1.86,3.48,4.5
NY Rangers,Colorado Avalanche,2.55,2.39,4.35
Toronto Maple Leafs,NY Islanders,2.05,3.0,4.4
Boston Bruins,Calgary Flames,1.83,3.5,4.65
Buffalo Sabres,Dallas Stars,2.96,2.03,4.45
Carolina Hurricanes,Vancouver Canucks,2.11,2.9,4.5
Florida Panthers,Philadelphia Flyers,1.82,3.55,4.6
Pittsburgh Penguins,Winnipeg Jets,2.45,2.45,4.3
Washington Capitals,Montreal Canadiens,2.02,3.05,4.4
New Jersey Devils,Colorado Avalanche,2.45,2.36,4.6
Vegas Golden Knights,Edmonton Oilers,3.15,2.16,4.5
NY Rangers,Tampa Bay Lightning,2.29,2.8,4.35
Toronto Maple Leafs,Dallas Stars,2.16,2.88,4.35
Chicago Blackhawks,Minnesota Wild,4.2,1.81,4.5
Boston Bruins,Vancouver Canucks,2.25,2.94,4.55
Florida Panthers,Washington Capitals,1.62,4.5,4.95
New Jersey Devils,Calgary Flames,2.16,2.8,4.55
Philadelphia Flyers,Winnipeg Jets,2.75,2.19,4.33
NY Islanders,Tampa Bay Lightning,2.07,2.9,4.6
Arizona Coyotes,Vegas Golden Knights,2.85,2.18,4.4
Minnesota Wild,Pittsburgh Penguins,2.71,2.22,4.35
Chicago Blackhawks,NY Rangers,5.1,1.55,5.0
Anaheim Ducks,Edmonton Oilers,4.6,1.59,5.0
Buffalo Sabres,St. Louis Blues,1.98,3.1,4.4
Detroit Red Wings,Vancouver Canucks,2.75,2.17,4.4
Montreal Canadiens,Dallas Stars,4.0,1.72,4.75
NY Islanders,Calgary Flames,2.38,2.55,4.3
Boston Bruins,Washington Capitals,1.6,4.75,4.95
Florida Panthers,Colorado Avalanche,2.25,2.94,4.55
Winnipeg Jets,Pittsburgh Penguins,2.03,3.1,4.35
Carolina Hurricanes,New Jersey Devils,1.96,3.15,4.55
Columbus Blue Jackets,Tampa Bay Lightning,3.22,1.91,4.7
Ottawa Senators,Toronto Maple Leafs,2.78,2.16,4.5
Philadelphia Flyers,Seattle Kraken,2.44,2.45,4.25
Nashville Predators,Arizona Coyotes,2.08,3.0,4.33
Los Angeles Kings,Edmonton Oilers,2.65,2.27,4.4
Montreal Canadiens,St. Louis Blues,2.6,2.3,4.4
Washington Capitals,Vancouver Canucks,3.3,1.91,4.55
New Jersey Devils,Seattle Kraken,2.18,2.85,4.45
NY Rangers,Calgary Flames,2.03,3.1,4.35
Philadelphia Flyers,Arizona Coyotes,2.05,3.05,4.3
Vegas Golden Knights,Minnesota Wild,2.07,2.98,4.33
Boston Bruins,Tampa Bay Lightning,2.15,3.16,4.5
Buffalo Sabres,Los Angeles Kings,3.0,2.17,4.45
Montreal Canadiens,Anaheim Ducks,2.32,2.95,4.45
Ottawa Senators,Columbus Blue Jackets,1.9,3.6,4.8
Toronto Maple Leafs,St. Louis Blues,1.82,3.6,4.75
Washington Capitals,Colorado Avalanche,3.4,1.95,4.6
NY Islanders,Seattle Kraken,2.05,3.25,4.4
Dallas Stars,Carolina Hurricanes,2.34,2.63,4.3
Nashville Predators,New Jersey Devils,2.21,2.88,4.5
Chicago Blackhawks,Vancouver Canucks,4.75,1.61,5.1
Edmonton Oilers,Detroit Red Wings,1.73,4.33,4.9
Winnipeg Jets,San Jose Sharks,1.38,7.0,5.75
Pittsburgh Penguins,Florida Panthers,2.78,2.22,4.45
Arizona Coyotes,Minnesota Wild,2.6,2.31,4.45
Boston Bruins,Seattle Kraken,1.84,3.75,4.5
Buffalo Sabres,Florida Panthers,3.15,2.1,4.45
New Jersey Devils,Los Angeles Kings,2.38,2.7,4.55
NY Rangers,Montreal Canadiens,1.65,4.75,4.8
Ottawa Senators,Anaheim Ducks,1.79,4.2,4.95
Tampa Bay Lightning,Colorado Avalanche,2.45,2.76,4.55
Toronto Maple Leafs,Philadelphia Flyers,2.08,3.0,4.35
St. Louis Blues,Edmonton Oilers,4.0,1.81,4.7
Nashville Predators,Dallas Stars,3.0,2.16,4.45
Chicago Blackhawks,Pittsburgh Penguins,3.95,1.86,4.4
Calgary Flames,San Jose Sharks,1.51,6.0,5.15
Vancouver Canucks,Detroit Red Wings,1.91,3.45,4.7
Arizona Coyotes,Carolina Hurricanes,3.95,1.91,4.7
Boston Bruins,Los Angeles Kings,2.02,3.2,4.33
Dallas Stars,Edmonton Oilers,2.27,2.62,4.5
Chicago Blackhawks,Ottawa Senators,3.45,1.85,4.6
Calgary Flames,Detroit Red Wings,2.1,2.91,4.45
Minnesota Wild,Buffalo Sabres,2.12,3.0,4.4
St. Louis Blues,Nashville Predators,2.6,2.29,4.3
Tampa Bay Lightning,Florida Panthers,2.63,2.27,4.33
Montreal Canadiens,Washington Capitals,2.55,2.32,4.25
Toronto Maple Leafs,Anaheim Ducks,1.58,4.75,5.1
New Jersey Devils,Philadelphia Flyers,2.14,2.9,4.3
Vancouver Canucks,Winnipeg Jets,2.32,2.6,4.2
San Jose Sharks,Columbus Blue Jackets,2.95,2.08,4.4
Vegas Golden Knights,Carolina Hurricanes,2.45,2.68,4.5
NY Islanders,NY Rangers,2.93,2.12,4.4
Colorado Avalanche,Arizona Coyotes,1.64,4.5,5.0
Pittsburgh Penguins,Los Angeles Kings,2.17,2.75,4.3
Buffalo Sabres,Anaheim Ducks,1.83,3.65,4.45
St. Louis Blues,Toronto Maple Leafs,3.05,2.03,4.6
Boston Bruins,Dallas Stars,2.21,2.96,4.7
Minnesota Wild,Vancouver Canucks,2.65,2.25,4.45
Seattle Kraken,Detroit Red Wings,2.15,2.8,4.45
San Jose Sharks,Vegas Golden Knights,4.75,1.64,4.8
Arizona Coyotes,Edmonton Oilers,4.5,1.59,5.15
Calgary Flames,Winnipeg Jets,2.7,2.27,4.3
Carolina Hurricanes,Chicago Blackhawks,1.42,6.0,5.5
Tampa Bay Lightning,Ottawa Senators,1.9,3.3,4.75
Florida Panthers,Ottawa Senators,1.59,4.5,5.15
NY Rangers,Dallas Stars,2.15,2.8,4.5
Pittsburgh Penguins,NY Islanders,2.2,2.75,4.4
Washington Capitals,New Jersey Devils,3.15,1.99,4.6
Winnipeg Jets,Minnesota Wild,2.08,2.95,4.4
Colorado Avalanche,Vancouver Canucks,2.19,3.02,4.65
Vegas Golden Knights,Nashville Predators,2.05,3.0,4.5
Los Angeles Kings,Columbus Blue Jackets,1.69,4.33,4.85
Montreal Canadiens,Buffalo Sabres,2.85,2.12,4.55
Chicago Blackhawks,Philadelphia Flyers,4.33,1.69,4.75
Anaheim Ducks,Columbus Blue Jackets,2.38,2.6,4.55
Arizona Coyotes,Toronto Maple Leafs,3.35,1.9,4.7
Edmonton Oilers,Boston Bruins,2.21,2.96,4.7
Carolina Hurricanes,Florida Panthers,2.32,2.55,4.4
Detroit Red Wings,Colorado Avalanche,2.75,2.17,4.65
New Jersey Devils,NY Rangers,2.42,2.45,4.5
Ottawa Senators,Dallas Stars,3.15,1.96,4.5
Pittsburgh Penguins,Montreal Canadiens,1.6,4.6,5.05
Tampa Bay Lightning,Washington Capitals,1.93,3.7,4.65
St. Louis Blues,NY Islanders,2.61,2.29,4.45
